Date,Close,Volume,SMA_10,EMA_10,nav
16-07-2023,19435.10882,270068.5714,284.58002,284.1433858,281.6169
17-07-2023,19711.44922,268700,284.98831,284.6881646,282.6305
18-07-2023,19749.25,286400,285.77427,285.1454234,282.4938
19-07-2023,19833.15039,259700,286.52181,285.7346731,283.8911
20-07-2023,19979.15039,274700,286.72046,286.144356,285.1261
21-07-2023,19745,312500,286.76808,286.3706351,283.8211
22-07-2023,19519.1165,276232.3529,286.654765,286.316186,284.3878875
23-07-2023,19538.16355,277860.6061,287.0461488,286.7446968,284.9253875
24-07-2023,19672.34961,265600,287.13473,286.9371984,284.1603
25-07-2023,19680.59961,369700,287.51427,287.5542869,285.7522
26-07-2023,19778.30078,244700,287.81619,287.9547507,287.228
27-07-2023,19659.90039,334900,288.11938,288.1162509,286.9305
28-07-2023,19646.05078,258700,288.43065,288.379751,287.8495
29-07-2023,19550.83739,273314.7059,287.9269637,287.890501,287.282175
30-07-2023,19552.40882,273264.7059,288.02155,288.0256845,287.462425
31-07-2023,19753.80078,295100,288.46969,288.4975846,290.4901
01-08-2023,19733.55078,298000,288.11033,288.0548034,289.9692
02-08-2023,19526.55078,290700,287.82047,287.6293819,285.8776
03-08-2023,19381.65039,315700,287.89142,288.0186668,285.6023
04-08-2023,19517,280800,287.90909,288.5556372,287.4876
05-08-2023,19544.34308,281864.7059,287.9956025,288.4441596,288.301725
06-08-2023,19541.7159,281326.4706,287.9400075,288.4758117,288.2458625
07-08-2023,19597.30078,216600,287.84145,288.7929788,287.9557
08-08-2023,19570.84961,260300,287.90418,288.9790408,288.7714
09-08-2023,19632.55078,266500,288.01819,289.0251832,290.2599
10-08-2023,19543.09961,312200,288.02493,288.7508017,290.0432
11-08-2023,19428.30078,235500,287.87313,288.463602,288.2399
12-08-2023,19533.6817,288708.8235,288.03469,288.7710751,288.4624571
13-08-2023,19529.73315,288744.1176,288.1970186,288.8396569,288.2669429
14-08-2023,19434.55078,243900,288.07741,288.5133136,286.8965
15-08-2023,19522.15313,290467.6471,288.4929267,288.9572172,287.43605
16-08-2023,19465,289800,288.50354,288.8726055,287.0706
17-08-2023,19365.25,268700,288.97775,289.2730512,286.5871
18-08-2023,19310.15039,256100,289.5008,289.8699292,285.779
19-08-2023,19538.50167,290432.3529,289.90457,290.1876283,287.3769857
20-08-2023,19549.6274,286952.9412,290.64986,290.8122156,287.8671
21-08-2023,19393.59961,262600,290.39843,290.7790246,286.8112
22-08-2023,19396.44922,208700,291.45331,291.6607634,288.583
23-08-2023,19444,225200,292.42075,292.3447108,289.9115
24-08-2023,19386.69922,268300,293.29444,292.8854244,290.3273
25-08-2023,19265.80078,466500,294.26042,293.4538964,288.5252
26-08-2023,19583.16636,290945.4545,293.9820488,293.4539797,289.676425
27-08-2023,19588.10311,293372.7273,294.9977163,294.2934363,290.302225
28-08-2023,19306.05078,248200,295.55826,294.5491623,290.2827
29-08-2023,19342.65039,307400,296.87883,295.497265,291.1578
30-08-2023,19347.44922,233000,297.59195,296.4615906,291.8127
31-08-2023,19253.80078,562600,298.52377,297.4946774,291.8176
01-09-2023,19435.30078,333000,299.68661,298.7562502,294.7553
02-09-2023,19609.67216,287645.4545,298.9349225,297.8914997,294.2614875
